wineid,wineryid
123,1
124,2
125,3
126,4
127,5
128,6
129,7
130,8
131,9
132,10
133,11
134,12
135,13
136,14
137,15
138,16
139,17
140,18
141,19
142,20
143,21
144,22
145,23
146,24
147,25
148,26
149,27
150,28
151,29
152,30
153,31
154,32
155,33
156,34
157,35
158,36
159,37
160,38
161,39
162,40
163,41
164,42
165,43
166,44
167,45
168,46
169,47
170,48
171,49
172,50
173,51
174,52
175,53
176,54
177,55
178,56
179,57
180,58
181,59
182,60
183,61
184,62
185,63
186,64
187,65
188,66
189,67
190,68
191,69
192,70
193,71
194,72
195,73
196,74
197,75
198,76
199,77
200,78
201,79
202,80
203,81
204,59
205,60
206,61
207,22
208,23
209,24
210,25
211,26
212,42
213,43
214,44
215,45
216,2
217,3
218,4
219,61
220,62
221,63
222,64
